BABY PRODUCTS,BISCUITS / CAKE / CHIPS / SNAKS,CHOCOLATE,COOKING OIL,COOL DRINKS / FRUIT JUICES / MILK SHAKES / SARBATHS,DEO / PERFUME,DISHWASHER / BATHROOM / FLOOR CLEANERS,DRY FRUITS,ELECTRONICS,FACE WASH / CREAM / MIOSTURIZER,HAIR COLOUR,HAIR OIL,HAND WASH / SANITISER,HONEY,ICE CREAM,KELLOGGS / OATS,KIRANA,KITCHEN ITEMS,LADIES ITEMS,MEDICAL,MILK POWDER / INSTANT DRINKS,OTHERS,PAPAD / MAKANI,PESTICIDES / MOSQUITO REPELLENTS,PICKLE,POOJA ITEMS,READY TO EAT,RICE,ROOM FRESHENER,SHAMPOO / BODY WASH,SHAVING,SOAP,SOUPS / SAUCES / POPCORNS / PASTA,SPICES,SPREADS / JAMS,STATIONERY,SWEETS,TALC,TEA / COFFEE,TOOTH PASTE / BRUSH,TOYS,VERMECELLI / NOODLES / MACARONI / PASTA,WASHING / DETERGENTS
1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,4,17,1,1,1,1,1,1,1,1
1,1,1,2,1,1,1,1,12,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,6,1,1,2,1,1,2,2,1
4,1,1,1,2,1,1,1,3,1,1,1,1,2,2,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,12,1,1,2,1
1,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,1,1,1,1,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,2,1,1,1,1,1,1,1,1,4,1
2,1,15,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,,1,2
4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,,1,1
1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,3,2,1,1,1,1,1,1,14,2,,1,4
1,1,1,2,1,1,2,1,5,1,1,1,,1,1,2,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,,1,1,1,14,1,,2,2
1,1,1,1,3,1,1,1,2,1,2,1,,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,26,1,,1,1
1,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,2
1,1,4,1,1,1,1,1,2,1,1,2,,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,9,1,,1,1
1,1,1,1,1,2,1,1,2,1,1,1,,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,6,5,1,1,1,,1,1,1,1,2,,1,1
2,1,4,1,1,1,1,1,2,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,,1,1,1,2,1,,1,1
3,1,1,1,1,1,1,1,2,1,1,1,,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,11,3,2,7,1,,1,1,1,1,1,,2,2
1,1,1,1,1,2,1,1,2,1,1,1,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,16,1,1,1,1,,1,1,1,1,1,,1,1
1,3,1,1,1,1,1,1,2,1,1,1,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,,5,2
1,1,2,1,1,1,1,1,2,1,1,1,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,,1,1
1,1,2,2,1,1,2,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,8,1,1,,1,1,1,5,1,,1,1
